Rule,Trades,Profit,PF
rsi_6 > 60,455,4737.1999999999925,1.2377718550641703
Close > sma_12,559,4670.399999999977,1.1894431982736586
Close > sma_2_sft_2,465,4492.599999999992,1.2168913177815543
rsi_42 > 60,168,4479.39999999999,1.7407150180242743
rsi_4 > 60,437,4441.699999999981,1.2309524180926679
rsi_48_sft_1 > 60,145,4339.600000000014,1.8519042010208138
Close > sma_12_sft_1,558,4216.499999999979,1.1703182181721241
rsi_42_sft_1 > 60,168,4086.0000000000014,1.6515603323180963
rsi_48 > 60,142,3801.5000000000086,1.72319984780748
Close > sma_12_sft_3,568,3712.399999999974,1.1464642479524039
